"comment","id","location","location2","sticker","conditiontext","haspartslist","wantpartslist","collid","baverage","average","avgweight","rank","numowned","objecttype","originalname","minplayers","maxplayers","playingtime","maxplaytime","minplaytime","yearpublished","bggrecplayers","bggbestplayers","bggrecagerange","bgglanguagedependence","publisherid","imageid","year","language","other","itemtype","barcode","pricepaid","pp_currency","currvalue","cv_currency","acquisitiondate","acquiredfrom","quantity","privatecomment","invlocation","invdate","version_publishers","version_languages","version_yearpublished","version_nickname"
"Coyote","317981","","","","","","","110489384","581.131","681.244","12.222","4240","1446","thing","Coyote","3","6","25","25","15","2020","3,4,2005","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HeidelBÄR Games","German","2020","German edition"
"Cranium","891","","","","","","","117591793","557.408","568.128","1.419","9880","19209","thing","Cranium","4","99","60","60","60","1998","4,5,6,7,8,9,10,11,12,14,16,18,19,20","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Die Crew: Mission Tiefsee","324856","","","","","","","110488748","784.639","81.556","2.04","37","35287","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,2005","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2021","German edition"
"Die Crew: Reist gemeinsam zum 9. Planeten","284083","","","","","","","110657215","766.294","780.576","19.536","70","79464","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2020","3,4,2005","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2020","German second edition"
"Crime Zoom: Ein tödlicher Autor","321306","","","","","","","110656490","556.596","680.916","1","10452","278","thing","Crime Zoom: A Deadly Writer","1","6","60","60","60","2021","1,2,2003","2","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Aurora","German","2021","German edition"
"Cryptid","246784","","","","","","","115988131","717.868","744.686","22.473","299","19859","thing","Cryptid","3","5","50","50","30","2022","3,4,2005","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Skellig Games","German","2022","German third edition"
"Cthulhu: Death May Die","253344","","","","","","","113306075","77.077","818.246","24.622","58","21709","thing","Cthulhu: Death May Die","1","5","120","120","90","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"CuBirds","245476","","","","","","","110491699","656.128","692.374","13.216","1091","10084","thing","CuBirds","2","5","20","20","20","2019","2,3,2004","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Board Game Circus","German","2019","German edition"
"Da ist der Wurm drin","91671","","","","","","","110661659","570.416","641.248","1","5650","1277","thing","Da ist der Wurm drin","2","4","20","20","15","2011","2,3,2004","4","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English  French  German  Italian","2011","Multilingual first edition"
"Dampfross","539","","","","","","","110495896","569.826","621.869","21.795","5752","2014","thing","Dampfross","2","6","90","90","90","1984","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","1984","Schmidt German-only edition"
"Daybreak","334986","","","","","","","118039075","64.025","779.059","28.936","1430","2872","thing","Daybreak","1","4","120","120","60","2023","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: A Crossroads Game","150376","","","","","","","110497831","730.562","74.658","30.107","219","64930","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2016","3,4,2005","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Plaid Hat Games","English","2016","English second edition"
"Deckscape: Das Schicksal von London","230498","","","","","","","110488387","582.994","616.183","2","4066","3678","thing","Deckscape: The Fate of London","1","6","60","60","60","2017","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE  DV Games","German","2017","German edition"
"Deckscape: Der Test","218311","","","","","","","111375706","611.296","657.834","1.6","2377","4470","thing","Deckscape: Test Time","1","6","90","90","30","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2017","German edition"
"Deckscape: Hinter dem Vorhang","267735","","","","","","","111376061","598.055","688.781","1.875","2993","2293","thing","Deckscape: Behind the Curtain","1","6","60","60","60","2019","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2019","German edition"
"Deckscape: Tokio Blackout","382609","","","","","","","111375686","552.845","625.176","1","15144","310","thing","Deckscape: Tokyo Blackout","1","6","60","60","60","2023","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE  DV Games","German","2023","German edition"
"Decktective: Den Tod kann man nicht betrügen","361637","","","","","","","110492623","558.423","720.641","1","9240","289","thing","Decktective: You Can't Cheat Death","1","6","60","60","60","2022","2,3,2004","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE","German","2022","German edition"
"Décorum","344554","","","","","","","110492531","633.265","742.232","19.167","1597","3292","thing","Décorum","2","4","45","45","30","2023","2,3,2004","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Skellig Games","German","2023","German edition"
"Decrypto","225694","","","","","","","110491978","754.059","77.688","18.106","96","36417","thing","Decrypto","3","8","45","45","15","2020","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Scorpion Masqué","German","2020","German edition 2020 with label ""Das Partyspiel #1"""
"Deep Blue","283649","","","","","","","110655010","599.397","669.753","18.824","2913","2637","thing","Deep Blue","2","5","45","45","45","2019","3,4,2005","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","German","2019","German edition"
"Deep Sea Adventure","169654","","","","","","","110493527","67.165","690.604","11.783","831","28887","thing","Deep Sea Adventure","2","6","30","30","30","2019","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Oink Games","English  French  German  Japanese","2019","Multilingual edition 2019"
"DEJA-VU","217321","","","","","","","110657157","577.296","65.787","10.625","4646","1124","thing","Déjà Vu","2","6","15","15","15","2017","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2017","German edition"
"Detective: Ein Krimi-Brettspiel – Erste Fälle","293531","","","","","","","110488486","599.239","688.658","2.069","2922","3688","thing","Detective: A Modern Crime Board Game – Season One","1","5","120","120","90","2020","1,2,2003","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele  Portal Games","German","2020","German edition"
"Deutschland: Finden Sie Minden","28436","","","","","","","111779498","561.236","636.108","15.806","7907","586","thing","Deutschland: Finden Sie Minden","2","5","45","45","45","2007","2,3,4,5","3,4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Island","221194","","","","","","","110656233","727.208","756.629","3.039","242","26399","thing","Dinosaur Island","1","4","120","120","90","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele","German","2019","German edition"
"Dirty Pig","118410","","","","","","","117071530","576.219","614.881","10.556","4778","3820","thing","Dirty Pig","2","4","10","10","10","2012","2,3,2004","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Böse Miene zum guten Spiel!","256382","","","","","","","110496007","67.185","695.557","24.817","828","46487","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2019","2,3,2004","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2019","German edition"
"District Noir","216497","","","","","","","110836374","617.961","701.917","1.26","2090","3445","thing","District Noir","2","2","20","20","10","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Game Factory","French  German","2023","German/French edition"
"Dixit: Disney Edition","381308","","","","","","","110495905","602.986","747.736","1.1","2728","3449","thing","Dixit: Disney Edition","3","6","30","30","30","2023","4,5,2006","6","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Libellud","German","2023","German edition"
"Dixit: Mirrors","301112","","","","","","","110661114","586.291","78.365","1","0","2236","thing","Dixit: Mirrors","3","6","30","30","20","2020","3,4,5,6","6","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Libellud","German","2020","German edition"
"Dixit: Odyssey","92828","","","","","","","110660822","717.453","739.912","11.661","304","31016","thing","Dixit: Odyssey","3","12","30","30","30","2017","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Libellud","German","2017","German-only edition"
"Dizzle","269199","","","","","","","110593460","602.883","681.798","13.214","2734","2836","thing","Dizzle","1","4","30","30","30","2019","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2019","German edition"
"Do De Li Do","206939","","","","","","","110488799","584.509","651.287","11.111","3947","2365","thing","Do De Li Do","2","6","20","20","10","2016","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Drei Magier Spiele","Dutch  English  French  German  Italian","2016","Multilingual first edition"
"Dobble Classic","63268","","","","","","","110488804","638.654","65.561","1.03","1474","40357","thing","Spot it!","2","8","15","15","15","2021","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee","German","2021","Asmodee German edition"
"Dodelido Extreme","297892","","","","","","","111778860","556.248","659.303","1.25","10734","431","thing","Dodelido Extreme","2","6","20","20","20","2020","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Drei Magier Spiele","Dutch  English  French  German  Italian","2020","Multilingual edition"
"DOG","2633","","","","","","","110660376","586.691","63.436","14.423","3772","3008","thing","DOG","2","6","45","45","45","2008","4,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","French  German  Italian","2008","Multilingual edition 2008"
"Dog Lover","344839","","","","","","","110488788","59.297","678.228","17.619","3324","2208","thing","Dog Lover","2","4","30","30","30","2022","2,3,2004","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2022","English edition"
"Dog Park","331401","","","","","","","110656213","629.145","697.057","21.569","1715","6308","thing","Dog Park","1","4","80","80","40","2022","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion (Second Edition)","209418","","","","","","","110490479","737.599","783.813","21.581","181","15322","thing","Dominion (Second Edition)","2","4","30","30","30","2016","2,3,2004","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't L.L.A.M.A. Dice","325853","","","","","","","110497724","588.839","655.862","1.12","3614","2683","thing","Don't L.L.A.M.A. Dice","2","6","20","20","20","2021","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Doppelt so Clever","269210","","","","","","","110593826","705.117","74.398","22.778","417","16437","thing","Twice as Clever!","1","4","30","30","30","2019","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Schmidt Spiele","German","2019","German edition"
"Dorfromantik: The Board Game","370591","","","and German Edition","","","","110658952","698.632","766.118","16.625","479","12267","thing","Dorfromantik: The Board Game","1","6","60","60","30","2023","1,2,2003","1,2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","English","2023","English edition"
"Double Down","3337","","","","","","","110497518","552.362","563.436","10.588","16224","1682","thing","Double Down","2","8","30","30","30","1993","3,4,5,6,7,8","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"DOUC Kids","370378","","","","","","","111129116","552.735","857.936","1","15384","61","thing","DOUC Kids","1","6","15","15","15","2022","","","","","","","","","","standalone","","","","","","","","","","","","DOUC IN DANGER GmbH","English  German","2022","English/German edition"
"Downforce","215311","","","","","","","110488988","703.581","729.802","17.238","423","18883","thing","Downforce","2","6","40","40","20","2017","2,3,4,5,6","3,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Draftosaurus","264055","","","","","","","110489289","686.562","710.094","1.241","624","22597","thing","Draftosaurus","2","5","15","15","15","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragon's Breath","235655","","","","","","","110594951","597.502","65.695","10.652","3025","3416","thing","Dragon's Breath","2","4","20","20","15","2017","2,3,2004","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"DREBO","370136","","","","","","","111288756","55.028","604.231","1.5","21416","83","thing","DREBO","2","4","30","30","15","2022","2,3,2004","2,3,2004","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","funbot","German","2022","German edition"
"Die drei ??? Labyrinth: Team Edition","416948","","","","","","","117299538","0","7","2","0","10","thing","Die drei ??? Labyrinth: Team Edition","2","4","40","40","30","2024","2,3,2004","3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Drop It","244916","","","","","","","110497788","629.549","689.224","1.1","1699","4292","thing","Drop It","2","4","30","30","30","2018","2,3,2004","2,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Druids","232417","","","","","","","110489799","565.446","646.392","16.667","6620","1048","thing","Druids","3","5","45","45","45","2017","3,4,2005","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO","German","2017","German edition"
"Drunter & Drüber","19","","","","","","","116302880","585.853","627.291","18.242","3839","3658","thing","Wacky Wacky West","2","4","45","45","30","0","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Hans im Glück","German","0","German third edition"
"Das Duell um die Geld","216895","","","","","","","119132402","554.078","681.025","2","12982","162","thing","Das Duell um die Geld","3","5","150","150","60","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Geheimnisse der Häuser","329713","","","","","","","111435547","539.492","511.226","12.632","26222","2410","thing","Dune: House Secrets","1","4","180","180","90","2021","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele  Portal Games","German","2021","German edition"
"Dune: Imperium","316554","","","","","","","110489884","82.291","843.484","30.471","6","62524","thing","Dune: Imperium","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Dire Wolf","German","2022","German second edition"
"Dungeon Petz","97207","","","","","","","110687237","715.046","740.096","36.215","318","19598","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,2004","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Roll","138788","","","","","","","112785945","592.102","608.764","13.284","3384","15520","thing","Dungeon Roll","1","4","30","30","15","2016","1,2,2003","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","German","2016","German second edition"
"Dungeons, Dice & Danger","349463","","","","","","","110495630","627.411","706.235","19.245","1770","5423","thing","Dungeons, Dice & Danger","1","4","60","60","45","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Duplik","22348","","","","","","","112355146","623.972","696.466","12.162","1874","3807","thing","Duplik","3","10","45","45","45","2005","3,4,5,6,7,8,9,10","5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"echoes: Der Cocktail","342210","","","","","","","111375740","572.485","659.563","12.632","5294","1317","thing","echoes: The Cocktail","1","6","60","60","60","2021","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2021","German edition"
"Eight-Minute Empire: Legends","142326","","","","","","","110661836","65.069","691.762","19.701","1196","8203","thing","Eight-Minute Empire: Legends","2","4","20","20","8","2013","2,3,2004","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","","","","","","","110595503","679.229","697.154","23.435","708","41805","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Electronic Dream Phone","6578","","","","","","","110495837","551.626","607.847","2","18036","344","thing","Electronic Dream Phone","1","4","20","20","20","1991","2,3,2004","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Elfenland","10","","","","","","","110496260","643.499","66.794","21.528","1361","11225","thing","Elfenland","2","6","60","60","60","1998","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Elfer raus!","2086","","","","","","","111018182","541.429","525.362","11.081","26153","2128","thing","Elfer raus!","2","6","30","30","30","2005","3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","German","2005","Ravensburger German edition 2005"
"Enchanted Forest","938","","","","","","","110661512","560.237","5.721","12.447","8300","6924","thing","Enchanted Forest","2","6","60","60","30","1981","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Entdecker","200","","","","","","","111242845","587.296","64.211","22.468","3730","2601","thing","Entdecker","2","4","60","60","60","1996","2,3,2004","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Goldsieber Spiele","German","1996","Goldsieber German first edition"
"Epic Spell Wars of the Battle Wizards: Melee at Murdershroom Marsh","221366","","","","","","","110557357","570.496","652.317","1.6","5638","2212","thing","Epic Spell Wars of the Battle Wizards: Melee at Murdershroom Marsh","2","6","30","30","30","2017","2,3,2004","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Epic Spell Wars of the Battle Wizards: Rumble at Castle Tentakill","173200","","","","","","","110557350","598.035","655.183","1.6","2996","6369","thing","Epic Spell Wars of the Battle Wizards: Rumble at Castle Tentakill","2","6","45","45","30","2015","2,3,4,5","3,4,2005","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Era: Medieval Age","270971","","","","","","","110495917","657.905","720.256","2.25","1056","6600","thing","Era: Medieval Age","1","4","60","60","45","2019","1,2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape from the Starline Express","296291","","","","","","","110493362","548.863","519.094","13.333","23906","250","thing","Escape from the Starline Express","2","8","90","90","90","2019","1,2,3,4","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Eselsbrücke","90009","","","","","","","110594913","575.488","698.828","16.957","4862","821","thing","Eselsbrücke","3","12","45","45","30","2011","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","","","","","","","110495055","784.751","802.658","28.263","35","81944","thing","Everdell","1","4","80","80","40","2021","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Pegasus Spiele","German","2021","Pegasus German edition"
"Everdell: Pearlbrook","259996","","","","","","","110495158","68.711","763.034","27.937","0","15308","thing","Everdell: Pearlbrook","1","4","80","80","40","2021","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Pegasus Spiele","German","2021","German first edition"
"Evolution","155703","","","","","","","110496165","683.049","704.663","24.232","660","23412","thing","Evolution","2","6","60","60","60","2014","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: Climate","182134","","","","","","","110656563","70.218","748.417","27.294","435","13469","thing","Evolution: Climate","2","6","60","60","60","2016","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: Das Spiel – Die Grabkammer des Pharao","203416","","","","","","","110489547","676.142","715.674","27.619","751","11947","thing","Exit: The Game – The Pharaoh's Tomb","1","6","90","90","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2016","German edition"
"EXIT: Das Spiel – Die Känguru-Eskapaden","269967","","","","","","","110959531","580.794","688.668","23.125","4278","973","thing","EXIT: Das Spiel – Die Känguru-Eskapaden","1","4","90","90","45","2019","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2019","German edition"
"EXIT: Das Spiel – Die unheimliche Villa","226520","","","","","","","110595240","647.476","726.156","24.737","1266","5225","thing","Exit: The Game – The Sinister Mansion","1","4","90","90","45","2018","1,2,2003","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2018","German edition"
"EXIT: Das Spiel – Die verlassene Hütte","203420","","","","","","","111762660","711.166","742.496","25.486","354","16295","thing","Exit: The Game – The Abandoned Cabin","1","6","120","120","60","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2016","German edition"
"EXIT: Das Spiel – Schatten über Mittelerde","341573","","","","","","","110489534","585.929","650.022","2.1","3833","3197","thing","Exit: The Game – The Lord of the Rings: Shadows over Middle-earth","1","4","90","90","45","2022","1,2,2003","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","KOSMOS","German","2022","German edition"
"Exit: The Game – Dead Man on the Orient Express","226522","","","","","","","110595224","693.901","75.546","2.716","531","9910","thing","Exit: The Game – Dead Man on the Orient Express","1","4","120","120","60","2017","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – Kids: Jungle of Riddles","366316","","","","","","","110488864","555.334","646.219","1","11531","531","thing","Exit: The Game – Kids: Jungle of Riddles","1","4","20","20","20","2022","1,2","2","4–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Cemetery of the Knight","295945","","","","","","","110595353","605.192","700.464","27.273","2632","2932","thing","Exit: The Game – The Cemetery of the Knight","1","4","120","120","60","2020","1,2,2003","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Gate Between Worlds","317372","","","","","","","110959468","60.588","740.007","27.778","2607","2139","thing","Exit: The Game – The Gate Between Worlds","1","4","120","120","60","2020","1,2,2003","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Haunted Roller Coaster","269968","","","","","","","110595327","625.795","714.423","2","1820","3760","thing","Exit: The Game – The Haunted Roller Coaster","1","4","90","90","45","2019","1,2,2003","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The House of Riddles","226519","","","","","","","110488556","608.525","686.077","16.111","2484","3420","thing","Exit: The Game – The House of Riddles","1","4","90","90","45","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Magical Academy","376477","","","","","","","111762643","554.002","669.275","2","13100","234","thing","Exit: The Game – The Magical Academy","1","4","90","90","45","2023","2,3,2004","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Exit: The Game – The Sunken Treasure","226518","","","","","","","110488918","645.342","704.894","18.226","1313","6621","thing","Exit: The Game – The Sunken Treasure","1","4","90","90","45","2017","1,2,2003","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens","172225","","","","","","","110488710","587.491","606.048","10.853","3704","74777","thing","Exploding Kittens","2","5","15","15","15","2015","3,4,2005","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Explorers","330174","","","","","","","110933239","621.089","716.165","18.776","1983","3375","thing","Explorers","1","4","20","20","20","2021","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","English  French  German  Italian","2021","EN/FR/GE/IT edition"
"Fabled Fruit","203427","","","","","","","110489294","660.283","699.072","16.061","1020","9182","thing","Fabled Fruit","2","5","30","30","20","2016","3,4,2005","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fabula Rasa: Crime","346015","","","","","","","110657302","550.721","606.548","1","20366","88","thing","Fabula Rasa: Crime","2","5","20","20","20","2021","2,3","2","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","","","","","","","116131372","679.535","713.699","11.241","701","15220","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fake That!","325237","","","","","","","110489390","553.912","652.927","1.5","13248","218","thing","Fake That!","4","8","20","20","20","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantasy Realms","223040","","","","","","","110489624","724.624","751.853","18.106","254","24162","thing","Fantasy Realms","2","7","20","20","20","2017","2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Farben","259005","","","","","","","110489516","558.272","651.571","1.2","9333","645","thing","Farben","3","5","75","75","45","2018","3,4,2005","5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fat Fish","243707","","","","","","","111375724","550.553","569.709","1","20786","121","thing","Fat Fish","2","6","20","20","20","2018","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HUCH!","Dutch  English  French  German","2018","Multilingual edition"
"Fauna","35497","","","","","","","110662861","65.481","703.746","14.564","1120","5677","thing","Fauna","2","6","60","60","45","2008","2,3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin","177736","","","","","","","110656060","794.405","817.273","38.659","23","36833","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Feed the Kraken","271601","","","","","","","112281516","686.303","787.224","21.236","630","5258","thing","Feed the Kraken","5","11","90","90","45","2022","6,7,8,9,10,11","8,9,10,11","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Funtails  SPIEL INSTABIL","English  German","2022","English/German basic edition"
"Fika","292914","","","","","","","110656613","555.506","58.582","26.111","11364","1043","thing","Fika","2","2","20","20","20","2022","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"First Rat","347703","","","","","","","110495744","677.377","758.782","22.632","730","5353","thing","First Rat","1","5","75","75","30","2022","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fits","10565","","","","","","","110657129","549.496","550.406","1","23009","210","thing","Fits","2","4","15","15","15","1999","1,2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes: Die Dschinn von Naqala","157354","","","","","","","111779665","76.235","77.748","28.446","79","54573","thing","Five Tribes: The Djinns of Naqala","2","4","80","80","40","2014","2,3,2004","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","German","2014","German edition"
